bin_start,bin_end,count,ratio
0.0,0.02,5159,0.026539704096960718
0.02,0.04,5178,0.026637446755972592
0.04,0.06,5613,0.028875239212297055
0.06,0.08,4985,0.025644587114430933
0.08,0.1,4530,0.023303907648620285
0.1,0.12,4167,0.021436508426446076
0.12,0.14,3807,0.019584542255694795
0.14,0.16,3609,0.01856596086178159
0.16,0.18,3175,0.016333312755931435
0.18,0.2,2954,0.015196411301109122
0.2,0.22,2782,0.014311583019527955
0.22,0.24,2663,0.01369940531308517
0.24,0.26,2540,0.013066650204745149
0.26,0.28,2303,0.011847439142333889
0.28,0.3,2408,0.012387595942136346
0.3,0.32,2263,0.011641665123361525
0.32,0.34,2247,0.011559355515772578
0.34,0.36,2066,0.01062822807992263
0.36,0.38,2033,0.010458464514270429
0.38,0.4,2036,0.010473897565693356
0.4,0.42,2023,0.010407021009527338
0.42,0.44,2044,0.010515052369487828
0.44,0.46,2097,0.010787702944626212
0.46,0.48,2118,0.010895734304586704
0.48,0.5,2091,0.010756836841780356
0.5,0.52,2069,0.010643661131345556
0.52,0.54,2188,0.011255838837788341
0.54,0.56,2254,0.011595365969092742
0.56,0.58,2273,0.011693108628104616
0.58,0.6,2252,0.011585077268144124
0.6,0.62,2241,0.011528489412926723
0.62,0.64,2095,0.010777414243677593
0.64,0.66,2219,0.011415313702491924
0.66,0.68,2267,0.011662242525258762
0.68,0.7000000000000001,2299,0.011826861740436652
0.7000000000000001,0.72,2416,0.01242875074593082
0.72,0.74,2509,0.012907175340041566
0.74,0.76,2470,0.012706545671543511
0.76,0.78,2709,0.013936045434903389
0.78,0.8,2879,0.014810585015535938
0.8,0.8200000000000001,3216,0.01654423112537811
0.8200000000000001,0.84,3425,0.017619400374508716
0.84,0.86,3920,0.020165853859291726
0.86,0.88,4202,0.021616560693046898
0.88,0.9,4437,0.022825483054509536
0.9,0.92,4951,0.025469679198304424
0.92,0.9400000000000001,5740,0.029528571722534314
0.9400000000000001,0.96,7146,0.03676152848941293
0.96,0.98,10131,0.05211741465522563
0.98,1.0,35189,0.1810245488404634
