path_index,transmitter,receiver,path_type,interaction_count,distance_m,delay_s,amplitude_magnitude,interaction_types,interaction_object_ids,interaction_object_names,interaction_points_m
0,tx_test,rx_los,specular_reflection,2,21.589302027792712,7.201415996860305e-08,9.217178419158544e-05,"[1, 1]","[3, 5]","[""wall_000"", ""wall_002""]","[[-6.513481140136719, -0.269970178604126, 1.0332324504852295], [-4.243950843811035, -10.839605331420898, 1.7620341777801514]]"
1,tx_test,rx_los,specular_reflection,2,20.534884549732396,6.849700184829999e-08,0.00010308390408718726,"[1, 1]","[4, 1]","[""wall_001"", ""floor_000""]","[[-15.189223289489746, -4.851375579833984, 0.8375141024589539], [-11.784035682678223, -4.915130138397217, 0.2877570688724518]]"
2,tx_test,rx_los,specular_reflection,2,12.68524535013377,4.231342387583936e-08,0.00010740404220600707,"[1, 1]","[1, 5]","[""floor_000"", ""wall_002""]","[[-5.262564659118652, -10.15077018737793, 0.367931991815567], [-4.998997688293457, -10.907578468322754, 0.5764318704605103]]"
3,tx_test,rx_los,specular_reflection,2,20.560646626556576,6.858293488676281e-08,9.679024155281856e-05,"[1, 1]","[1, 4]","[""floor_000"", ""wall_001""]","[[-14.876286506652832, -4.873232841491699, 0.3231913149356842], [-15.207610130310059, -4.864665508270264, 0.380328893661499]]"
4,tx_test,rx_los,specular_reflection,2,10.466716007694473,3.491320654802621e-08,0.00013991970044432468,"[1, 1]","[1, 6]","[""floor_000"", ""wall_003""]","[[-1.0233912467956543, -5.01765775680542, 0.1631482094526291], [0.04872073605656624, -5.007218837738037, 0.37614089250564575]]"
5,tx_test,rx_los,specular_reflection,2,6.015422039295391,2.0065288097725897e-08,0.00018990702352590205,"[1, 1]","[1, 2]","[""floor_000"", ""ceiling_000""]","[[-5.887566566467285, -5.019499778747559, 0.22092582285404205], [-3.8393261432647705, -4.917939186096191, 2.4640657901763916]]"
6,tx_test,rx_los,los,0,3.99999990723561,1.3342563498497384e-08,0.0024850754998624325,[],[],[],[]
7,tx_test,rx_los,specular_reflection,1,4.455674629139029,1.4862530761661219e-08,0.00013134507450268212,[1],[2],"[""ceiling_000""]","[[-4.936959743499756, -4.9359822273254395, 2.478973865509033]]"
8,tx_test,rx_los,specular_reflection,2,6.088704646203265,2.0309732562395766e-08,0.00019238812295908615,"[1, 1]","[2, 1]","[""ceiling_000"", ""floor_000""]","[[-6.109610557556152, -4.914783954620361, 2.4922537803649902], [-4.159189224243164, -5.018826484680176, 0.20039525628089905]]"
9,tx_test,rx_los,specular_reflection,2,10.512518568954064,3.5065987447069347e-08,0.00012422929709648422,"[1, 1]","[2, 6]","[""ceiling_000"", ""wall_003""]","[[-2.6446704864501953, -4.914243221282959, 2.448882818222046], [0.15760184824466705, -4.94376277923584, 1.7628564834594727]]"
10,tx_test,rx_los,specular_reflection,2,12.527307246607066,4.1786599069837393e-08,0.00016353736930072542,"[1, 1]","[2, 5]","[""ceiling_000"", ""wall_002""]","[[-5.030666351318359, -10.629315376281738, 2.8524489402770996], [-4.980162620544434, -10.779025077819824, 2.8353989124298096]]"
11,tx_test,rx_los,specular_reflection,2,10.667651260278234,3.5583454405241355e-08,0.0001562438869659155,"[1, 1]","[2, 3]","[""ceiling_000"", ""wall_000""]","[[-5.367025852203369, -0.33394575119018555, 2.183412551879883], [-5.28827428817749, -0.1117948666214943, 2.1184821128845215]]"
