path_index,transmitter,receiver,path_type,interaction_count,distance_m,delay_s,amplitude_magnitude,interaction_types,interaction_object_ids,interaction_object_names,interaction_points_m
0,tx_test,rx_los,specular_reflection,1,4.455674629139029,1.4862530761661219e-08,0.00013134507450268212,[1],[2],"[""ceiling_000""]","[[-4.936959743499756, -4.9359822273254395, 2.478973865509033]]"
1,tx_test,rx_los,specular_reflection,2,10.667651260278234,3.5583454405241355e-08,0.00015624381407135988,"[1, 1]","[2, 3]","[""ceiling_000"", ""wall_000""]","[[-5.367026329040527, -0.33394739031791687, 2.183412551879883], [-5.28827428817749, -0.11179488152265549, 2.1184818744659424]]"
2,tx_test,rx_los,specular_reflection,2,12.527309376760599,4.178660617526475e-08,0.00016353697560828227,"[1, 1]","[2, 5]","[""ceiling_000"", ""wall_002""]","[[-5.030666828155518, -10.629312515258789, 2.8524487018585205], [-4.980162620544434, -10.77902603149414, 2.8353986740112305]]"
3,tx_test,rx_los,specular_reflection,1,12.356482779284441,4.121678998103562e-08,0.0003765796657209185,[1],[5],"[""wall_002""]","[[-4.995614528656006, -10.836126327514648, 1.8320870399475098]]"
4,tx_test,rx_los,specular_reflection,1,10.449261529647728,3.485498467625803e-08,0.00045632345004182283,[1],[3],"[""wall_000""]","[[-5.3080854415893555, -0.19860655069351196, 1.0970345735549927]]"
5,tx_test,rx_los,specular_reflection,2,12.526527610414107,4.178399848342451e-08,0.00016387883974960436,"[1, 1]","[5, 2]","[""wall_002"", ""ceiling_000""]","[[-4.986429214477539, -10.781832695007324, 2.7861316204071045], [-4.8394012451171875, -10.34984016418457, 2.8317809104919434]]"
6,tx_test,rx_los,specular_reflection,2,14.261405593259397,4.7570928529694356e-08,0.00023409567019737858,"[1, 1]","[3, 6]","[""wall_000"", ""wall_003""]","[[-2.4062182903289795, -0.060160886496305466, 0.8532022833824158], [0.08106203377246857, -2.227457284927368, 0.9220232963562012]]"
7,tx_test,rx_los,specular_reflection,2,15.58205392014058,5.197613717200511e-08,0.000216203082639907,"[1, 1]","[5, 6]","[""wall_002"", ""wall_003""]","[[-1.8978161811828613, -10.84786605834961, 1.589025616645813], [0.13946600258350372, -8.517640113830566, 1.3589568138122559]]"
8,tx_test,rx_los,specular_reflection,2,10.664394255526773,3.557259020681158e-08,0.00015781598431711873,"[1, 1]","[3, 2]","[""wall_000"", ""ceiling_000""]","[[-5.30476188659668, -0.12052591145038605, 2.0252084732055664], [-5.001776695251465, -0.7391522526741028, 2.2053418159484863]]"
9,tx_test,rx_los,specular_reflection,2,12.68761514593887,4.232132866377469e-08,0.00010689023791719052,"[1, 1]","[5, 1]","[""wall_002"", ""floor_000""]","[[-5.023016452789307, -10.91028881072998, 0.5290826559066772], [-4.829900741577148, -10.344941139221191, 0.36864110827445984]]"
10,tx_test,rx_los,specular_reflection,2,21.589302027792712,7.201415996860305e-08,9.217178419158544e-05,"[1, 1]","[3, 5]","[""wall_000"", ""wall_002""]","[[-6.513481140136719, -0.269970178604126, 1.0332324504852295], [-4.243950843811035, -10.839605331420898, 1.7620341777801514]]"
11,tx_test,rx_los,specular_reflection,2,12.68524535013377,4.231342387583936e-08,0.00010740402783380842,"[1, 1]","[1, 5]","[""floor_000"", ""wall_002""]","[[-5.262564659118652, -10.150769233703613, 0.36793193221092224], [-4.998996734619141, -10.907578468322754, 0.5764321684837341]]"
0,tx_test,rx_reflection,specular_reflection,2,7.867823787768696,2.6244235229455626e-08,2.2969566636364647e-05,"[1, 1]","[7, 1]","[""blocker_panel_000"", ""floor_000""]","[[-5.074999809265137, -5.858938694000244, 0.8621557950973511], [-6.829002857208252, -6.641593933105469, 0.28091374039649963]]"
1,tx_test,rx_reflection,specular_reflection,2,12.797365981326152,4.268741804480669e-08,0.00017114644715931623,"[1, 1]","[3, 1]","[""wall_000"", ""floor_000""]","[[-8.491324424743652, -0.45389416813850403, 0.13226965069770813], [-8.514907836914062, -0.5708296895027161, 0.11822351813316345]]"
2,tx_test,rx_reflection,specular_reflection,2,6.427525269495504,2.1439916508825263e-08,0.00018033216970907273,"[1, 1]","[1, 2]","[""floor_000"", ""ceiling_000""]","[[-7.791721343994141, -5.7919745445251465, 0.26676926016807556], [-9.206140518188477, -7.121222019195557, 2.675266981124878]]"
3,tx_test,rx_reflection,los,0,4.242640370758862,1.415192496523332e-08,0.0023429517168551683,[],[],[],[]
4,tx_test,rx_reflection,specular_reflection,1,4.7951076715719125,1.5994757518456026e-08,0.00019170139014987322,[1],[2],"[""ceiling_000""]","[[-8.330410957336426, -6.271772861480713, 2.608766555786133]]"
5,tx_test,rx_reflection,specular_reflection,1,7.478135098116162,2.4944373677726617e-08,0.00023069997199061246,[1],[7],"[""blocker_panel_000""]","[[-5.074999809265137, -5.843054294586182, 1.5000001192092896]]"
6,tx_test,rx_reflection,specular_reflection,2,6.159590830386879,2.0546183421288333e-08,0.0001705356488517882,"[1, 1]","[2, 1]","[""ceiling_000"", ""floor_000""]","[[-7.653885364532471, -5.580516338348389, 2.5551021099090576], [-9.239479064941406, -7.242881774902344, 0.32761383056640625]]"
7,tx_test,rx_reflection,specular_reflection,2,9.483178323357173,3.163247797033364e-08,0.0001287452310262118,"[1, 1]","[2, 5]","[""ceiling_000"", ""wall_002""]","[[-8.300248146057129, -8.742027282714844, 2.7699263095855713], [-9.007109642028809, -10.80789852142334, 2.3757753372192383]]"
8,tx_test,rx_reflection,specular_reflection,2,13.856769083729695,4.622120641784022e-08,0.0001652600138186135,"[1, 1]","[2, 4]","[""ceiling_000"", ""wall_001""]","[[-13.911713600158691, -6.384878635406494, 2.6859679222106934], [-15.155006408691406, -6.656614303588867, 2.538475751876831]]"
9,tx_test,rx_reflection,specular_reflection,2,7.7895614144398095,2.5983180051980526e-08,2.9844353947930495e-05,"[1, 1]","[7, 2]","[""blocker_panel_000"", ""ceiling_000""]","[[-5.074999809265137, -5.801210403442383, 2.198484420776367], [-6.123344898223877, -6.237550258636475, 2.578925132751465]]"
10,tx_test,rx_reflection,specular_reflection,1,9.205617187896003,3.070663368021087e-08,0.0005059417610388343,[1],[5],"[""wall_002""]","[[-9.013418197631836, -10.845337867736816, 1.7178964614868164]]"
11,tx_test,rx_reflection,specular_reflection,1,12.662245017364704,4.2236703023945665e-08,0.00035752739737915986,[1],[3],"[""wall_000""]","[[-8.471063613891602, -0.37868043780326843, 1.0152324438095093]]"
12,tx_test,rx_reflection,specular_reflection,1,13.71879690926476,4.576098078246105e-08,0.0003275159500845416,[1],[4],"[""wall_001""]","[[-15.187238693237305, -6.7127556800842285, 1.7522592544555664]]"
13,tx_test,rx_reflection,specular_reflection,1,4.875647179027229,1.6263408397776402e-08,0.0002472750380730509,[1],[1],"[""floor_000""]","[[-8.592646598815918, -6.614501476287842, 0.30102720856666565]]"
14,tx_test,rx_reflection,specular_reflection,2,17.503638795048126,5.8385854373455004e-08,5.3468138117045494e-05,"[1, 1]","[7, 4]","[""blocker_panel_000"", ""wall_001""]","[[-5.074999809265137, -5.3129401206970215, 1.5460902452468872], [-15.19031810760498, -6.957364559173584, 1.7882866859436035]]"
15,tx_test,rx_reflection,specular_reflection,2,12.89258171408322,4.30050235422641e-08,0.0001341107656586738,"[1, 1]","[3, 2]","[""wall_000"", ""ceiling_000""]","[[-8.455525398254395, -0.2983023524284363, 1.9628102779388428], [-8.71476936340332, -1.5897610187530518, 2.307403564453125]]"
16,tx_test,rx_reflection,specular_reflection,2,24.065477700316194,8.027379294617276e-08,8.095602653201193e-05,"[1, 1]","[5, 3]","[""wall_002"", ""wall_000""]","[[-7.934730052947998, -10.846149444580078, 1.6908239126205444], [-9.615100860595703, -0.45547106862068176, 0.8467309474945068]]"
17,tx_test,rx_reflection,specular_reflection,2,33.701101526316066,1.124147743780668e-07,5.702452787983439e-05,"[1, 1]","[4, 6]","[""wall_001"", ""wall_003""]","[[-15.170434951782227, -5.482426643371582, 1.604162335395813], [0.07271236181259155, -6.950380802154541, 0.5867229104042053]]"
18,tx_test,rx_reflection,specular_reflection,2,16.064845762784152,5.3586557413609626e-08,0.0002118027606789424,"[1, 1]","[4, 5]","[""wall_001"", ""wall_002""]","[[-15.24268913269043, -10.149541854858398, 1.95144522190094], [-14.226527214050293, -10.836970329284668, 1.9268138408660889]]"
19,tx_test,rx_reflection,specular_reflection,2,17.800627995804064,5.937650371379277e-08,0.00019760902278174398,"[1, 1]","[3, 4]","[""wall_000"", ""wall_001""]","[[-12.79474925994873, -0.5996527671813965, 1.2034668922424316], [-15.128358840942383, -2.804973602294922, 1.4207159280776978]]"
20,tx_test,rx_reflection,specular_reflection,2,18.292491097266534,6.101718241779963e-08,0.00010781415317896209,"[1, 1]","[3, 5]","[""wall_000"", ""wall_002""]","[[-8.166478157043457, -0.36292770504951477, 1.004190444946289], [-9.605297088623047, -10.849654197692871, 1.6490687131881714]]"
