point_id,x,y,z,sionna_rssi_dbm,point_role,marker_id,path_gain_linear,valid_path_count
cal-01,34.9,18.7,0.45,-39.853294533166164,calibration,cal_rx_000,1.0343572115053855e-06,4109319
cal-02,24.02,6.31,0.45,-96.22322171785903,calibration,cal_rx_001,2.3860405946145935e-12,197672
cal-03,16.07,6.31,0.45,-97.55727421504582,calibration,cal_rx_002,1.7549816444683975e-12,195246
cal-04,5.86,18.56,0.45,-40.91434034618076,calibration,cal_rx_003,8.101509869020344e-07,4088692
test-01,12.57,17.83,0.45,-37.18902581478231,test,test_rx_000,1.9102817142753955e-06,4129721
test-02,1.8,17.8,0.45,-42.5232706577806,test,test_rx_001,5.593362085398074e-07,4062637
test-03,1.76,6.9,0.45,-68.31589477442392,test,test_rx_002,1.4737048831239502e-09,1073674
test-04,5.17,5.31,0.45,-70.8006668569986,test,test_rx_003,8.316360639977506e-10,610870
test-05,10.9,5.31,0.45,-84.60899061431763,test,test_rx_004,3.460197902770074e-11,190827
test-06,20.04,5.31,0.45,-94.28630120423493,test,test_rx_005,3.727089996215919e-12,180209
test-07,31.57,5.31,0.45,-81.40338089805836,test,test_rx_006,7.238722202312398e-11,196150
test-08,37.93,6.9,0.45,-69.20662146976778,test,test_rx_007,1.200432799094142e-09,1117276
test-09,37.93,16.88,0.45,-42.56812513633166,test,test_rx_008,5.535890438620901e-07,4007035
test-10,30.1,17.83,0.45,-37.06306155407003,test,test_rx_009,1.966499519336755e-06,4139954
