bin_start,bin_end,count,ratio
0.0,0.02,9371,0.06055573505654281
0.02,0.04,9766,0.06310823909531503
0.04,0.06,8539,0.055179321486268175
0.06,0.08,7539,0.0487172859450727
0.08,0.1,6348,0.04102100161550889
0.1,0.12,5381,0.03477221324717286
0.12,0.14,5015,0.03240710823909532
0.14,0.16,3959,0.025583198707592892
0.16,0.18,3401,0.021977382875605817
0.18,0.2,2829,0.018281098546042002
0.2,0.22,2294,0.014823909531502423
0.22,0.24,2185,0.014119547657512116
0.24,0.26,1857,0.012
0.26,0.28,1714,0.011075928917609047
0.28,0.3,1460,0.009434571890145396
0.3,0.32,1325,0.008562197092084006
0.32,0.34,1192,0.007702746365105008
0.34,0.36,991,0.006403877221324717
0.36,0.38,963,0.006222940226171244
0.38,0.4,872,0.005634894991922455
0.4,0.42,842,0.005441033925686591
0.42,0.44,813,0.005253634894991923
0.44,0.46,748,0.004833602584814216
0.46,0.48,763,0.004930533117932148
0.48,0.5,709,0.004581583198707593
0.5,0.52,681,0.004400646203554119
0.52,0.54,666,0.004303715670436187
0.54,0.56,668,0.004316639741518578
0.56,0.58,626,0.004045234248788368
0.58,0.6,648,0.004187399030694669
0.6,0.62,661,0.00427140549273021
0.62,0.64,567,0.0036639741518578353
0.64,0.66,570,0.0036833602584814217
0.66,0.68,515,0.0033279483037156705
0.68,0.7000000000000001,611,0.003948303715670436
0.7000000000000001,0.72,539,0.0034830371567043618
0.72,0.74,619,0.004
0.74,0.76,565,0.0036510500807754444
0.76,0.78,568,0.0036704361873990308
0.78,0.8,574,0.0037092084006462036
0.8,0.8200000000000001,578,0.0037350565428109854
0.8200000000000001,0.84,672,0.00434248788368336
0.84,0.86,696,0.004497576736672052
0.86,0.88,792,0.005117932148626818
0.88,0.9,900,0.005815831987075929
0.9,0.92,1067,0.006894991922455573
0.92,0.9400000000000001,1347,0.008704361873990306
0.9400000000000001,0.96,1973,0.012749596122778675
0.96,0.98,3622,0.023405492730210017
0.98,1.0,53149,0.34345072697899837
