object_id,vertex_index,x,y,z,coordinate_space
Wall_01,0,7.145842719,7.574869419,0.010000000,metric
Wall_01,1,8.245842719,7.574869419,0.010000000,metric
Wall_01,2,8.245842719,13.874869419,0.010000000,metric
Wall_01,3,7.145842719,13.874869419,0.010000000,metric
Wall_01,4,7.145842719,7.574869419,2.610000000,metric
Wall_01,5,8.245842719,7.574869419,2.610000000,metric
Wall_01,6,8.245842719,13.874869419,2.610000000,metric
Wall_01,7,7.145842719,13.874869419,2.610000000,metric
Wall_02,0,4.273310484,7.574869419,0.010000000,metric
Wall_02,1,5.373310484,7.574869419,0.010000000,metric
Wall_02,2,5.373310484,13.874869419,0.010000000,metric
Wall_02,3,4.273310484,13.874869419,0.010000000,metric
Wall_02,4,4.273310484,7.574869419,2.610000000,metric
Wall_02,5,5.373310484,7.574869419,2.610000000,metric
Wall_02,6,5.373310484,13.874869419,2.610000000,metric
Wall_02,7,4.273310484,13.874869419,2.610000000,metric
Wall_03,0,5.103177012,7.274869419,0.010000000,metric
Wall_03,1,5.103177012,8.374869419,0.010000000,metric
Wall_03,2,0.003177012,8.374869419,0.010000000,metric
Wall_03,3,0.003177012,7.274869419,0.010000000,metric
Wall_03,4,5.103177012,7.274869419,2.610000000,metric
Wall_03,5,5.103177012,8.374869419,2.610000000,metric
Wall_03,6,0.003177012,8.374869419,2.610000000,metric
Wall_03,7,0.003177012,7.274869419,2.610000000,metric
Wall_04,0,5.346920695,12.704869419,0.010000000,metric
Wall_04,1,5.346920695,13.804869419,0.010000000,metric
Wall_04,2,3.296920695,13.804869419,0.010000000,metric
Wall_04,3,3.296920695,12.704869419,0.010000000,metric
Wall_04,4,5.346920695,12.704869419,2.610000000,metric
Wall_04,5,5.346920695,13.804869419,2.610000000,metric
Wall_04,6,3.296920695,13.804869419,2.610000000,metric
Wall_04,7,3.296920695,12.704869419,2.610000000,metric
door_02,0,0.019190886,0.724869419,0.000000000,metric
door_02,1,0.069190886,0.724869419,0.000000000,metric
door_02,2,0.069190886,1.624869419,0.000000000,metric
door_02,3,0.019190886,1.624869419,0.000000000,metric
door_02,4,0.019190886,0.724869419,2.000000000,metric
door_02,5,0.069190886,0.724869419,2.000000000,metric
door_02,6,0.069190886,1.624869419,2.000000000,metric
door_02,7,0.019190886,1.624869419,2.000000000,metric
door_01,0,0.019190886,6.274869419,0.000000000,metric
door_01,1,0.069190886,6.274869419,0.000000000,metric
door_01,2,0.069190886,7.174869419,0.000000000,metric
door_01,3,0.019190886,7.174869419,0.000000000,metric
door_01,4,0.019190886,6.274869419,2.000000000,metric
door_01,5,0.069190886,6.274869419,2.000000000,metric
door_01,6,0.069190886,7.174869419,2.000000000,metric
door_01,7,0.019190886,7.174869419,2.000000000,metric
door_03,0,11.719190886,8.049869419,0.010000000,metric
door_03,1,11.769190886,8.049869419,0.010000000,metric
door_03,2,11.769190886,10.199869419,0.010000000,metric
door_03,3,11.719190886,10.199869419,0.010000000,metric
door_03,4,11.719190886,8.049869419,2.010000000,metric
door_03,5,11.769190886,8.049869419,2.010000000,metric
door_03,6,11.769190886,10.199869419,2.010000000,metric
door_03,7,11.719190886,10.199869419,2.010000000,metric
door_04,0,11.719190886,11.049869419,0.010000000,metric
door_04,1,11.769190886,11.049869419,0.010000000,metric
door_04,2,11.769190886,13.199869419,0.010000000,metric
door_04,3,11.719190886,13.199869419,0.010000000,metric
door_04,4,11.719190886,11.049869419,2.010000000,metric
door_04,5,11.769190886,11.049869419,2.010000000,metric
door_04,6,11.769190886,13.199869419,2.010000000,metric
door_04,7,11.719190886,13.199869419,2.010000000,metric
window_01,0,10.114190886,0.049869419,0.010000000,metric
window_01,1,10.114190886,0.099869419,0.010000000,metric
window_01,2,9.034190886,0.099869419,0.010000000,metric
window_01,3,9.034190886,0.049869419,0.010000000,metric
window_01,4,10.114190886,0.049869419,2.570000000,metric
window_01,5,10.114190886,0.099869419,2.570000000,metric
window_01,6,9.034190886,0.099869419,2.570000000,metric
window_01,7,9.034190886,0.049869419,2.570000000,metric
window_01_copy,0,6.704190886,0.049869419,0.010000000,metric
window_01_copy,1,6.704190886,0.099869419,0.010000000,metric
window_01_copy,2,5.624190886,0.099869419,0.010000000,metric
window_01_copy,3,5.624190886,0.049869419,0.010000000,metric
window_01_copy,4,6.704190886,0.049869419,2.570000000,metric
window_01_copy,5,6.704190886,0.099869419,2.570000000,metric
window_01_copy,6,5.624190886,0.099869419,2.570000000,metric
window_01_copy,7,5.624190886,0.049869419,2.570000000,metric
window_01_copy_copy,0,4.404190886,0.049869419,0.010000000,metric
window_01_copy_copy,1,4.404190886,0.099869419,0.010000000,metric
window_01_copy_copy,2,3.324190886,0.099869419,0.010000000,metric
window_01_copy_copy,3,3.324190886,0.049869419,0.010000000,metric
window_01_copy_copy,4,4.404190886,0.049869419,2.570000000,metric
window_01_copy_copy,5,4.404190886,0.099869419,2.570000000,metric
window_01_copy_copy,6,3.324190886,0.099869419,2.570000000,metric
window_01_copy_copy,7,3.324190886,0.049869419,2.570000000,metric
window_01_copy_copy_copy,0,2.134190886,0.049869419,0.010000000,metric
window_01_copy_copy_copy,1,2.134190886,0.099869419,0.010000000,metric
window_01_copy_copy_copy,2,1.054190886,0.099869419,0.010000000,metric
window_01_copy_copy_copy,3,1.054190886,0.049869419,0.010000000,metric
window_01_copy_copy_copy,4,2.134190886,0.049869419,2.570000000,metric
