object_id,vertex_index,x,y,z,coordinate_space
Wall_01,0,-0.813065844,0.873870636,2.647113852,scene
Wall_01,1,-1.438678433,0.873288099,2.250117547,scene
Wall_01,2,0.828890971,1.179675977,-1.323715335,scene
Wall_01,3,1.454503560,1.180258515,-0.926719030,scene
Wall_01,4,-0.744156819,-0.872879544,2.541085648,scene
Wall_01,5,-1.369769408,-0.873462082,2.144089343,scene
Wall_01,6,0.897799996,-0.567074204,-1.429743540,scene
Wall_01,7,1.523412585,-0.566491666,-1.032747235,scene
Wall_02,0,0.820654456,0.875391872,3.683827201,scene
Wall_02,1,0.195041867,0.874809334,3.286830896,scene
Wall_02,2,2.462611270,1.181197212,-0.287001987,scene
Wall_02,3,3.088223860,1.181779750,0.109994318,scene
Wall_02,4,0.889563481,-0.871358309,3.577798996,scene
Wall_02,5,0.263950892,-0.871940847,3.180802691,scene
Wall_02,6,2.531520295,-0.565552969,-0.393030192,scene
Wall_02,7,3.157132885,-0.564970431,0.003966113,scene
Wall_03,0,0.240697736,0.860362492,3.554506132,scene
Wall_03,1,0.636622552,0.913858788,2.930503565,scene
Wall_03,2,3.537190012,0.916559645,4.771122797,scene
Wall_03,3,3.141265196,0.863063349,5.395125364,scene
Wall_03,4,0.309606761,-0.886387688,3.448477928,scene
Wall_03,5,0.705531577,-0.832891392,2.824475361,scene
Wall_03,6,3.606099037,-0.830190535,4.665094593,scene
Wall_03,7,3.210174221,-0.883686831,5.289097159,scene
Wall_04,0,2.056500133,1.124310581,0.386234060,scene
Wall_04,1,2.452424950,1.177806878,-0.237768507,scene
Wall_04,2,3.618339321,1.178892516,0.502088243,scene
Wall_04,3,3.222414504,1.125396220,1.126090810,scene
Wall_04,4,2.125409158,-0.622439599,0.280205855,scene
Wall_04,5,2.521333975,-0.568943303,-0.343796712,scene
Wall_04,6,3.687248346,-0.567857664,0.396060039,scene
Wall_04,7,3.291323529,-0.621353960,1.020062605,scene
door_02,0,0.774340134,0.551227011,9.105405314,scene
door_02,1,0.745903198,0.551200532,9.087360027,scene
door_02,2,1.069841684,0.594970229,8.576812473,scene
door_02,3,1.098278620,0.594996708,8.594857759,scene
door_02,4,0.827347076,-0.792426974,9.023845157,scene
door_02,5,0.798910140,-0.792453453,9.005799870,scene
door_02,6,1.122848627,-0.748683756,8.495252315,scene
door_02,7,1.151285563,-0.748657277,8.513297602,scene
door_01,0,2.771960799,0.821140142,5.957028727,scene
door_01,1,2.743523863,0.821113663,5.938983440,scene
door_01,2,3.067462350,0.864883360,5.428435886,scene
door_01,3,3.095899286,0.864909839,5.446481172,scene
door_01,4,2.824967742,-0.522513843,5.875468569,scene
door_01,5,2.796530806,-0.522540322,5.857423283,scene
door_01,6,3.120469292,-0.478770625,5.346875728,scene
door_01,7,3.148906228,-0.478744146,5.364921015,scene
door_03,0,-3.243138481,0.894549357,0.727110632,scene
door_03,1,-3.271575417,0.894522878,0.709065345,scene
door_03,2,-2.497722366,0.999083820,-0.510576035,scene
door_03,3,-2.469285431,0.999110299,-0.492530749,scene
door_03,4,-3.190131539,-0.449104628,0.645550474,scene
door_03,5,-3.218568475,-0.449131107,0.627505188,scene
door_03,6,-2.444715424,-0.344570165,-0.592136193,scene
door_03,7,-2.416278488,-0.344543686,-0.574090906,scene
door_04,0,-2.163343527,1.040448346,-0.974714551,scene
door_04,1,-2.191780463,1.040421867,-0.992759837,scene
door_04,2,-1.417927412,1.144982810,-2.212401218,scene
door_04,3,-1.389490476,1.145009289,-2.194355931,scene
door_04,4,-2.110336585,-0.303205638,-1.056274708,scene
door_04,5,-2.138773520,-0.303232117,-1.074319995,scene
door_04,6,-1.364920470,-0.198671175,-2.293961375,scene
door_04,7,-1.336483534,-0.198644696,-2.275916089,scene
window_01,0,-5.209766050,0.506335360,5.844564817,scene
window_01,1,-5.191769468,0.508767010,5.816201064,scene
window_01,2,-4.577531653,0.509338956,6.205979255,scene
window_01,3,-4.595528235,0.506907307,6.234343008,scene
window_01,4,-5.141917164,-1.213541740,5.740167816,scene
window_01,5,-5.123920582,-1.211110091,5.711804063,scene
window_01,6,-4.509682767,-1.210538144,6.101582253,scene
window_01,7,-4.527679349,-1.212969794,6.129946006,scene
window_01_copy,0,-3.270367023,0.508141227,7.075253363,scene
window_01_copy,1,-3.252370441,0.510572877,7.046889610,scene
window_01_copy,2,-2.638132626,0.511144824,7.436667800,scene
window_01_copy,3,-2.656129208,0.508713174,7.465031553,scene
window_01_copy,4,-3.202518137,-1.211735873,6.970856361,scene
window_01_copy,5,-3.184521555,-1.209304223,6.942492608,scene
window_01_copy,6,-2.570283740,-1.208732277,7.332270798,scene
window_01_copy,7,-2.588280322,-1.211163927,7.360634551,scene
window_01_copy_copy,0,-1.962267973,0.509359261,7.905336546,scene
window_01_copy_copy,1,-1.944271390,0.511790911,7.876972793,scene
window_01_copy_copy,2,-1.330033575,0.512362857,8.266750983,scene
window_01_copy_copy,3,-1.348030158,0.509931207,8.295114736,scene
window_01_copy_copy,4,-1.894419087,-1.210517840,7.800939544,scene
window_01_copy_copy,5,-1.876422504,-1.208086190,7.772575791,scene
window_01_copy_copy,6,-1.262184689,-1.207514244,8.162353981,scene
window_01_copy_copy,7,-1.280181272,-1.209945893,8.190717734,scene
window_01_copy_copy_copy,0,-0.671231084,0.510561407,8.724592557,scene
window_01_copy_copy_copy,1,-0.653234501,0.512993057,8.696228804,scene
window_01_copy_copy_copy,2,-0.038996686,0.513565003,9.086006994,scene
window_01_copy_copy_copy,3,-0.056993269,0.511133353,9.114370747,scene
window_01_copy_copy_copy,4,-0.603382198,-1.209315693,8.620195555,scene
window_01_copy_copy_copy,5,-0.585385615,-1.206884044,8.591831802,scene
window_01_copy_copy_copy,6,0.028852200,-1.206312097,8.981609992,scene
window_01_copy_copy_copy,7,0.010855617,-1.208743747,9.009973745,scene
tx_01,0,-1.037247382,0.248795680,8.181877612,scene
tx_01,1,-1.179432061,0.248663285,8.091651179,scene
tx_01,2,-1.114644364,0.257417225,7.989541668,scene
tx_01,3,-0.972459684,0.257549620,8.079768101,scene
tx_01,4,-1.035922208,0.215204331,8.179838608,scene
tx_01,5,-1.178106888,0.215071936,8.089612175,scene
tx_01,6,-1.113319190,0.223825875,7.987502664,scene
tx_01,7,-0.971134511,0.223958270,8.077729097,scene
