point_id,x,y,z,sionna_rssi_dbm,point_role,marker_id,path_gain_linear,valid_path_count
cal-01,3.13,3.93,0.45,-29.278715880427335,calibration,cal_rx_01,1.180669683818855e-05,23
cal-02,8.08,3.93,0.45,-31.80851543061525,calibration,cal_rx_02,6.5939926229407025e-06,20
cal-03,10.56,10.68,0.45,-37.135717258556056,calibration,cal_rx_03,1.9338744434304634e-06,14
cal-04,8.69,15.010000000000002,0.45,-43.0351559426626,calibration,cal_rx_04,4.971465223024156e-07,3
test-01,0.65,3.93,0.45,-30.043306841037698,test,test_rx_01,9.900777845773759e-06,24
test-02,5.6,3.93,0.45,-31.14837248518385,test,test_rx_02,7.676491113061906e-06,23
test-03,10.56,3.93,0.45,-33.232549599689996,test,test_rx_03,4.750562542019097e-06,22
test-04,6.42,11.2,0.45,-42.99773772070817,test,test_rx_04,5.014483746061447e-07,4
test-05,6.92,15.010000000000002,0.45,-48.790953003925395,test,test_rx_05,1.3210057244983647e-07,3
test-06,10.56,15.010000000000002,0.45,-51.813855402645885,test,test_rx_06,6.585889803587666e-08,2
