point_id,x,y,z,sionna_rssi_dbm,point_role,marker_id,path_gain_linear,valid_path_count
cal-01,3.13,3.93,0.45,-29.15369754478762,calibration,cal_rx_01,1.2151509913090274e-05,192
cal-02,8.08,3.93,0.45,-31.624048560245683,calibration,cal_rx_02,6.880106231713166e-06,199
cal-03,10.56,10.68,0.45,-36.554884808232984,calibration,cal_rx_03,2.210606889403745e-06,121
cal-04,8.69,15.010000000000002,0.45,-41.70153531954518,calibration,cal_rx_04,6.758440085173242e-07,54
test-01,0.65,3.93,0.45,-29.94619045518661,test,test_rx_01,1.0124671809278643e-05,198
test-02,5.6,3.93,0.45,-30.904342677461543,test,test_rx_02,8.120181419166763e-06,214
test-03,10.56,3.93,0.45,-33.014021211308055,test,test_rx_03,4.995717582194882e-06,218
test-04,6.42,11.2,0.45,-42.526423255399976,test,test_rx_04,5.589303267695872e-07,58
test-05,6.92,15.010000000000002,0.45,-47.28727897736232,test,test_rx_05,1.8675494161844827e-07,53
test-06,10.56,15.010000000000002,0.45,-49.359400624671565,test,test_rx_06,1.1589372915254625e-07,66
