point_id,x,y,z,sionna_rssi_dbm,point_role,marker_id,path_gain_linear,valid_path_count
cal-01,3.13,3.93,0.45,-29.153170055199666,calibration,cal_rx_01,1.2152985912556883e-05,591
cal-02,8.08,3.93,0.45,-31.623811606446523,calibration,cal_rx_02,6.880481624874539e-06,571
cal-03,10.56,10.68,0.45,-36.55469588275881,calibration,cal_rx_03,2.2107030566488666e-06,133
cal-04,8.69,15.010000000000002,0.45,-41.701178774933666,calibration,cal_rx_04,6.758994958516605e-07,69
test-01,0.65,3.93,0.45,-29.945821907398027,test,test_rx_01,1.0125531038187179e-05,579
test-02,5.6,3.93,0.45,-30.903793163395903,test,test_rx_02,8.121208933077722e-06,621
test-03,10.56,3.93,0.45,-33.013858084758,test,test_rx_03,4.9959052312471624e-06,594
test-04,6.42,11.2,0.45,-42.5198023601104,test,test_rx_04,5.597830756727735e-07,119
test-05,6.92,15.010000000000002,0.45,-47.29776035342849,test,test_rx_05,1.8630476583290202e-07,113
test-06,10.56,15.010000000000002,0.45,-49.358566997514515,test,test_rx_06,1.1591597705964901e-07,77
