point_id,x,y,z,sionna_rssi_dbm,point_role,marker_id,path_gain_linear,valid_path_count
cal-01,3.13,3.93,0.45,-29.076269909245667,calibration,cal_rx_01,1.237009426324435e-05,4432
cal-02,8.08,3.93,0.45,-31.710464031910647,calibration,cal_rx_02,6.744559600522627e-06,4503
cal-03,10.56,10.68,0.45,-36.44147552123154,calibration,cal_rx_03,2.2690937932974596e-06,1684
cal-04,8.69,15.010000000000002,0.45,-41.12899446632794,calibration,cal_rx_04,7.710819790786742e-07,1208
test-01,0.65,3.93,0.45,-29.766005161712542,test,test_rx_01,1.0553572156461002e-05,4347
test-02,5.6,3.93,0.45,-30.798527251895962,test,test_rx_02,8.320458806606705e-06,4639
test-03,10.56,3.93,0.45,-32.87231733425494,test,test_rx_03,5.1614089026524014e-06,4502
test-04,6.42,11.2,0.45,-42.272527087416364,test,test_rx_04,5.925804115465521e-07,1186
test-05,6.92,15.010000000000002,0.45,-45.51599191695922,test,test_rx_05,2.8080239543748487e-07,1327
test-06,10.56,15.010000000000002,0.45,-46.619879713497866,test,test_rx_06,2.177770089195701e-07,1368
