point_id,x,y,z,sionna_rssi_dbm,point_role,marker_id,path_gain_linear,valid_path_count
cal-01,3.13,3.93,0.45,-29.067076981823526,calibration,cal_rx_01,1.2396306389829831e-05,2894
cal-02,8.08,3.93,0.45,-31.4780473400223,calibration,cal_rx_02,7.115333589363637e-06,2895
cal-03,10.56,10.68,0.45,-36.19372383583047,calibration,cal_rx_03,2.4023020750224047e-06,1031
cal-04,8.69,15.010000000000002,0.45,-41.2449547006555,calibration,cal_rx_04,7.507658849873598e-07,648
test-01,0.65,3.93,0.45,-29.757918571296628,test,test_rx_01,1.05732412801563e-05,2863
test-02,5.6,3.93,0.45,-30.780618596823444,test,test_rx_02,8.354840057678071e-06,2990
test-03,10.56,3.93,0.45,-32.80022989025725,test,test_rx_03,5.247796807282908e-06,2903
test-04,6.42,11.2,0.45,-42.24804764397359,test,test_rx_04,5.959299816117278e-07,713
test-05,6.92,15.010000000000002,0.45,-44.2956420887641,test,test_rx_05,3.719082318032477e-07,780
test-06,10.56,15.010000000000002,0.45,-46.625662285309716,test,test_rx_06,2.1748723475949672e-07,763
