point_id,x,y,z,sionna_rssi_dbm,point_role,marker_id,path_gain_linear,valid_path_count
cal-01,3.13,3.93,0.45,-29.258633338694437,calibration,cal_rx_01,1.1861419509916399e-05,76
cal-02,8.08,3.93,0.45,-32.84097916665758,calibration,cal_rx_02,5.198787706950296e-06,61
cal-03,10.56,10.68,0.45,-37.545727786874764,calibration,cal_rx_03,1.7596537578623413e-06,31
cal-04,8.69,15.010000000000002,0.45,-46.426812223885634,calibration,cal_rx_04,2.2767679939302288e-07,16
test-01,0.65,3.93,0.45,-29.991552600045708,test,test_rx_01,1.0019469786272514e-05,79
test-02,5.6,3.93,0.45,-30.568351840397632,test,test_rx_02,8.773337085491468e-06,77
test-03,10.56,3.93,0.45,-34.262514527512884,test,test_rx_03,3.7475595895734084e-06,71
test-04,6.42,11.2,0.45,-41.35230002317591,test,test_rx_04,7.324365320854222e-07,36
test-05,6.92,15.010000000000002,0.45,-48.25316620164726,test,test_rx_05,1.4951452306957115e-07,32
test-06,10.56,15.010000000000002,0.45,-50.483917911213126,test,test_rx_06,8.945573922223745e-08,20
