grid_id,row,column,x,y,z,sionna_rssi_dbm,path_gain_linear
grid-r000-c000,0,0,0.19999980926513672,0.20000028610229492,0.44999998807907104,-37.363946785299504,1.8348700905335136e-06
grid-r000-c001,0,1,0.40000009536743164,0.20000028610229492,0.44999998807907104,-36.08037109387795,2.465828629283351e-06
grid-r000-c002,0,2,0.5999999046325684,0.20000028610229492,0.44999998807907104,-37.28191449968478,1.8698576695896918e-06
grid-r000-c003,0,3,0.7999997138977051,0.20000028610229492,0.44999998807907104,-36.33410208661267,2.3258933197212173e-06
grid-r000-c004,0,4,1.0,0.20000028610229492,0.44999998807907104,-37.104162486252584,1.9479766706353985e-06
grid-r000-c005,0,5,1.1999998092651367,0.20000028610229492,0.44999998807907104,-36.22008274402276,2.3877657895354787e-06
grid-r000-c006,0,6,1.4000000953674316,0.20000028610229492,0.44999998807907104,-36.48074328895822,2.248669716209406e-06
grid-r000-c007,0,7,1.5999999046325684,0.20000028610229492,0.44999998807907104,-35.161904127238344,3.0465589588857256e-06
grid-r000-c008,0,8,1.799999713897705,0.20000028610229492,0.44999998807907104,-34.061040015117435,3.925509190594312e-06
grid-r000-c009,0,9,2.0,0.20000028610229492,0.44999998807907104,-32.099807980194896,6.166222647152608e-06
grid-r000-c010,0,10,2.200000047683716,0.20000028610229492,0.44999998807907104,-30.76396748903032,8.386934496229514e-06
grid-r000-c011,0,11,2.3999998569488525,0.20000028610229492,0.44999998807907104,-28.86852401929852,1.2976202015124727e-05
grid-r000-c012,0,12,2.5999999046325684,0.20000028610229492,0.44999998807907104,-27.677764170246206,1.7069609384634532e-05
grid-r000-c013,0,13,2.799999952316284,0.20000028610229492,0.44999998807907104,-26.4824701384548,2.2477757738670334e-05
grid-r000-c014,0,14,3.0,0.20000028610229492,0.44999998807907104,-25.915197394105498,2.5614168407628313e-05
grid-r000-c015,0,15,3.200000047683716,0.20000028610229492,0.44999998807907104,-25.737928599484896,2.668130946403835e-05
grid-r000-c016,0,16,3.3999998569488525,0.20000028610229492,0.44999998807907104,-26.376317835775424,2.303393921465613e-05
grid-r000-c017,0,17,3.5999999046325684,0.20000028610229492,0.44999998807907104,-27.000073872127004,1.995228376472369e-05
