point_id,x,y,z,sionna_rssi_dbm,point_role,marker_id,path_gain_linear,valid_path_count
cal-01,3.13,3.93,0.45,-29.254595692267742,calibration,cal_rx_01,1.1872452228441104e-05,38955
cal-02,8.08,3.93,0.45,-32.88817460935853,calibration,cal_rx_02,5.142597555702255e-06,39039
cal-03,10.56,10.68,0.45,-37.63218963701229,calibration,cal_rx_03,1.7249679739505893e-06,20017
cal-04,8.69,15.010000000000002,0.45,-46.650999627405284,calibration,cal_rx_04,2.1622207822155066e-07,3391
test-01,0.65,3.93,0.45,-30.01350665614887,test,test_rx_01,9.96894808599964e-06,38817
test-02,5.6,3.93,0.45,-30.585515527184498,test,test_rx_02,8.73873253727571e-06,39224
test-03,10.56,3.93,0.45,-34.34870864360023,test,test_rx_03,3.6739152658555375e-06,39053
test-04,6.42,11.2,0.45,-41.522492304993264,test,test_rx_04,7.042887796488754e-07,5379
test-05,6.92,15.010000000000002,0.45,-48.48820283773162,test,test_rx_05,1.4163797735152834e-07,4303
test-06,10.56,15.010000000000002,0.45,-50.71676233551844,test,test_rx_06,8.478592574962492e-08,4515
