point_id,x,y,z,sionna_rssi_dbm,point_role,marker_id,path_gain_linear,valid_path_count
cal-01,3.13,3.93,0.45,-29.259373248999808,calibration,cal_rx_01,1.1859398844372488e-05,23
cal-02,8.08,3.93,0.45,-32.84217454391005,calibration,cal_rx_02,5.19735695946364e-06,20
cal-03,10.56,10.68,0.45,-38.0840361088236,calibration,cal_rx_03,1.5545202691598534e-06,14
cal-04,8.69,15.010000000000002,0.45,-46.561093495036005,calibration,cal_rx_04,2.2074488571376482e-07,4
test-01,0.65,3.93,0.45,-29.992502557226615,test,test_rx_01,1.001727840996585e-05,25
test-02,5.6,3.93,0.45,-30.569469828031337,test,test_rx_02,8.771078889634752e-06,24
test-03,10.56,3.93,0.45,-34.26487754253793,test,test_rx_03,3.745521080853047e-06,21
test-04,6.42,11.2,0.45,-41.814383362721586,test,test_rx_04,6.585089223409304e-07,5
test-05,6.92,15.010000000000002,0.45,-49.18381403823935,test,test_rx_05,1.2067535808038114e-07,3
test-06,10.56,15.010000000000002,0.45,-51.70991561215618,test,test_rx_06,6.745411345922643e-08,3
