point_id,point_role,node_id,x,y,z,sample_count,median_raw,median_filtered,mean_filtered,std_filtered,device_offset_db,corrected_rssi
cal-01,calibration,synthetic-node-01,3.13,3.93,0.45,30,-25.45459569226774,-25.254595692267742,-25.254595692267742,0.8,0.0,-25.254595692267742
cal-02,calibration,synthetic-node-02,8.08,3.93,0.45,30,-29.08817460935853,-28.88817460935853,-28.88817460935853,0.8,0.0,-28.88817460935853
cal-03,calibration,synthetic-node-03,10.56,10.68,0.45,30,-33.83218963701229,-33.63218963701229,-33.63218963701229,0.8,0.0,-33.63218963701229
cal-04,calibration,synthetic-node-04,8.69,15.010000000000002,0.45,30,-42.85099962740529,-42.650999627405284,-42.650999627405284,0.8,0.0,-42.650999627405284
test-01,test,synthetic-node-05,0.65,3.93,0.45,30,-26.21350665614887,-26.01350665614887,-26.01350665614887,0.8,0.0,-26.01350665614887
test-02,test,synthetic-node-06,5.6,3.93,0.45,30,-26.785515527184497,-26.585515527184498,-26.585515527184498,0.8,0.0,-26.585515527184498
test-03,test,synthetic-node-07,10.56,3.93,0.45,30,-30.548708643600232,-30.348708643600233,-30.348708643600233,0.8,0.0,-30.348708643600233
test-04,test,synthetic-node-08,6.42,11.2,0.45,30,-37.72249230499327,-37.522492304993264,-37.522492304993264,0.8,0.0,-37.522492304993264
test-05,test,synthetic-node-09,6.92,15.010000000000002,0.45,30,-44.68820283773162,-44.48820283773162,-44.48820283773162,0.8,0.0,-44.48820283773162
test-06,test,synthetic-node-10,10.56,15.010000000000002,0.45,30,-46.91676233551844,-46.71676233551844,-46.71676233551844,0.8,0.0,-46.71676233551844
