object_id,vertex_index,x,y,z,coordinate_space
desk_mid_01,0,0.784737387,0.686625674,2.072288432,scene
desk_mid_01,1,0.556213596,0.715691302,1.857883491,scene
desk_mid_01,2,2.370736192,1.019663301,0.051680673,scene
desk_mid_01,3,2.599259982,0.990597673,0.266085614,scene
desk_mid_01,4,0.790769465,0.511126328,2.063195053,scene
desk_mid_01,5,0.562245674,0.540191956,1.848790112,scene
desk_mid_01,6,2.376768269,0.844163956,0.042587294,scene
desk_mid_01,7,2.605292060,0.815098327,0.256992235,scene
desk_mid_02,0,0.202974953,0.705228600,1.501635166,scene
desk_mid_02,1,-0.025548838,0.734294228,1.287230224,scene
desk_mid_02,2,1.788973758,1.038266228,-0.518972594,scene
desk_mid_02,3,2.017497549,1.009200599,-0.304567653,scene
desk_mid_02,4,0.211017724,0.471229473,1.489510660,scene
desk_mid_02,5,-0.017506067,0.500295101,1.275105719,scene
desk_mid_02,6,1.797016528,0.804267100,-0.531097099,scene
desk_mid_02,7,2.025540319,0.775201472,-0.316692158,scene
desk_mid_03,0,-0.436097328,0.705124857,1.076468028,scene
desk_mid_03,1,-0.664621118,0.734190485,0.862063087,scene
desk_mid_03,2,1.354035269,1.072359334,-1.147337548,scene
desk_mid_03,3,1.582559060,1.043293706,-0.932932607,scene
desk_mid_03,4,-0.426267275,0.419125923,1.061649188,scene
desk_mid_03,5,-0.654791066,0.448191552,0.847244247,scene
desk_mid_03,6,1.363865322,0.786360401,-1.162156388,scene
desk_mid_03,7,1.592389113,0.757294773,-0.947751447,scene
desk_mid_04,0,-1.120529966,0.697343035,0.696451880,scene
desk_mid_04,1,-1.349053757,0.726408664,0.482046938,scene
desk_mid_04,2,0.964462553,1.113972963,-1.820861655,scene
desk_mid_04,3,1.192986344,1.084907335,-1.606456714,scene
desk_mid_04,4,-1.108242400,0.339844369,0.677928330,scene
desk_mid_04,5,-1.336766190,0.368909997,0.463523389,scene
desk_mid_04,6,0.976750119,0.756474296,-1.839385205,scene
desk_mid_04,7,1.205273910,0.727408668,-1.624980263,scene
desk_mid_05,0,-1.610197444,0.721739574,0.126421959,scene
desk_mid_05,1,-1.838721235,0.750805203,-0.087982982,scene
desk_mid_05,2,0.610884269,1.161167402,-2.526356787,scene
