point_id,node_id,x,y,z,measured_rssi_dbm,raw_sionna_rssi_dbm,raw_sionna_abs_error_db,plain_idw_rssi_dbm,plain_idw_abs_error_db,residual_idw_rssi_dbm,residual_idw_abs_error_db
test-00,node-02,1.2000000000000002,1.4000000000000001,1.0184397979548492,-38.0,-34.466593614109,3.5334063858909985,-47.08665900611065,9.08665900611065,-48.181362947070525,10.181362947070525
test-01,node-02,5.0,1.4,1.0184397979548492,-43.0,-33.370548869690005,9.629451130309995,-47.073478151610544,4.073478151610544,-47.24315902334487,4.243159023344873
test-02,node-02,7.5,1.4,1.0184397979548492,-39.5,-32.247495935536634,7.252504064463366,-48.26581724130674,8.765817241306742,-46.95477949985703,7.4547794998570325
test-04,node-02,12.5,1.4,1.0184397979548492,-40.0,-34.86542461302821,5.13457538697179,-49.940122405587815,9.940122405587815,-51.82206009148655,11.822060091486549
test-05,node-02,1.2000000000000002,6.6,1.5184397979548492,-43.0,-33.41576003783358,9.584239962166421,-47.17256372771496,4.172563727714959,-45.35981442718365,2.3598144271836503
test-06,node-02,5.0,6.6,1.5184397979548492,-36.0,-27.858102701617838,8.141897298382162,-47.20003238939236,11.200032389392362,-37.36794870068064,1.3679487006806426
test-07,node-02,7.5,6.6,1.5184397979548492,-36.0,-19.51861058806149,16.48138941193851,-47.3654371034604,11.365437103460401,-26.649213848875306,9.350786151124694
test-08,node-02,10.0,6.6,1.5184397979548492,-42.0,-26.804053254812402,15.195946745187598,-48.3314930557465,6.331493055746499,-37.50252770212087,4.497472297879128
test-09,node-02,12.5,6.6,1.5184397979548492,-45.0,-31.37961163574016,13.620388364259838,-49.175605398310466,4.175605398310466,-45.467654656199294,0.4676546561992936
test-10,node-02,1.2000000000000002,10.35,1.5184397979548492,-46.0,-47.761417021388795,1.7614170213887945,-47.2311288120898,1.2311288120897999,-55.94729389994021,9.947293899940213
test-11,node-02,5.0,10.35,1.5184397979548492,-43.0,-46.51400689922352,3.514006899223517,-47.05168815815671,4.051688158156708,-51.31403278949901,8.31403278949901
test-12,node-02,7.5,10.35,1.5184397979548492,-43.0,-44.5893526864248,1.589352686424803,-47.00262655987213,4.002626559872127,-48.816487473825134,5.816487473825134
test-13,node-02,10.0,10.35,1.5184397979548492,-41.0,-45.49262172406026,4.492621724060257,-47.12365235632445,6.123652356324449,-50.429194781199115,9.429194781199115
