point_id,point_role,node_id,x,y,z,sample_count,median_raw,median_filtered,mean_filtered,std_filtered,min_filtered,max_filtered,iqr_filtered,device_offset_db,corrected_rssi
cal-01,calibration,gw-01,3.9732749424333735,2.9724979458444354,0.5960450007868423,27,-44.0,-45.0,-45.111,1.013,-47.0,-43.0,1.0,-2.0,-47.0
cal-02,calibration,node-01,7.45,9.55,1.4684397979548491,30,-47.0,-47.0,-46.6,0.724,-48.0,-45.0,1.0,0.0,-47.0
cal-03,calibration,node-03,11.350000000000001,2.95,0.6184397979548492,30,-49.0,-50.0,-49.767,0.728,-51.0,-48.0,1.0,0.0,-50.0
test-00,test,node-02,1.2000000000000002,1.4000000000000001,1.0184397979548492,30,-39.0,-38.0,-38.867,2.569,-45.0,-35.0,3.0,0.0,-38.0
test-01,test,node-02,5.0,1.4,1.0184397979548492,30,-44.0,-43.0,-43.633,2.297,-48.0,-38.0,2.75,0.0,-43.0
test-02,test,node-02,7.5,1.4,1.0184397979548492,24,-39.5,-39.5,-39.375,2.428,-43.0,-35.0,3.25,0.0,-39.5
test-04,test,node-02,12.5,1.4,1.0184397979548492,28,-40.0,-40.0,-40.893,3.655,-48.0,-36.0,5.0,0.0,-40.0
test-05,test,node-02,1.2000000000000002,6.6,1.5184397979548492,25,-43.0,-43.0,-43.04,2.371,-47.0,-37.0,3.0,0.0,-43.0
test-06,test,node-02,5.0,6.6,1.5184397979548492,23,-36.0,-36.0,-35.13,2.719,-39.0,-29.0,3.0,0.0,-36.0
test-07,test,node-02,7.5,6.6,1.5184397979548492,28,-36.0,-36.0,-35.25,3.428,-40.0,-26.0,3.5,0.0,-36.0
test-08,test,node-02,10.0,6.6,1.5184397979548492,30,-41.0,-42.0,-41.333,3.273,-47.0,-34.0,4.75,0.0,-42.0
test-09,test,node-02,12.5,6.6,1.5184397979548492,29,-45.0,-45.0,-45.724,3.981,-56.0,-39.0,4.0,0.0,-45.0
test-10,test,node-02,1.2000000000000002,10.35,1.5184397979548492,27,-46.0,-46.0,-46.37,3.04,-53.0,-39.0,2.5,0.0,-46.0
test-11,test,node-02,5.0,10.35,1.5184397979548492,29,-42.0,-43.0,-42.793,2.059,-48.0,-40.0,3.0,0.0,-43.0
test-12,test,node-02,7.5,10.35,1.5184397979548492,29,-43.0,-43.0,-43.517,4.023,-51.0,-38.0,6.0,0.0,-43.0
test-13,test,node-02,10.0,10.35,1.5184397979548492,28,-41.0,-41.0,-41.071,2.956,-48.0,-36.0,4.0,0.0,-41.0
test-14,test,node-02,12.5,10.35,1.5184397979548492,8,-42.0,-43.5,-43.0,2.619,-47.0,-39.0,2.75,0.0,-43.5
