source_point_id,target_point_id,point_role,node_id,sample_count,primary_included,secondary_included,device_offset_status,decision
offset-01,cal-01,calibration,gw-01,27,True,True,measured,included
offset-01,cal-02,calibration,node-01,30,True,True,measured,included
offset-01,cal-03,calibration,node-03,30,True,True,measured,included
offset-02,test-00,test,node-02,30,True,True,unmeasured_assumed_zero,included
offset-03,test-01,test,node-02,30,True,True,unmeasured_assumed_zero,included
offset-04,test-02,test,node-02,24,True,True,unmeasured_assumed_zero,included
offset-05,test-03,test,node-02,0,False,False,unmeasured_assumed_zero,excluded_missing_measurement
offset-06,test-04,test,node-02,28,True,True,unmeasured_assumed_zero,included
offset-07,test-05,test,node-02,25,True,True,unmeasured_assumed_zero,included
offset-08,test-06,test,node-02,23,True,True,unmeasured_assumed_zero,included
offset-09,test-07,test,node-02,28,True,True,unmeasured_assumed_zero,included
offset-10,test-08,test,node-02,30,True,True,unmeasured_assumed_zero,included
offset-11,test-09,test,node-02,29,True,True,unmeasured_assumed_zero,included
offset-12,test-10,test,node-02,27,True,True,unmeasured_assumed_zero,included
offset-13,test-11,test,node-02,29,True,True,unmeasured_assumed_zero,included
offset-14,test-12,test,node-02,29,True,True,unmeasured_assumed_zero,included
offset-15,test-13,test,node-02,28,True,True,unmeasured_assumed_zero,included
offset-16,test-14,test,node-02,8,False,True,unmeasured_assumed_zero,secondary_only_low_sample_count
