grid_id,row,column,x,y,z,sionna_rssi_dbm,path_gain_linear
grid-r000-c000,0,0,0.5,0.5,1.2000000476837158,-33.816159366054954,4.153211648372235e-06
grid-r000-c001,0,1,1.0,0.5,1.2000000476837158,-34.32814052097959,3.6913561416440643e-06
grid-r000-c002,0,2,1.5,0.5,1.2000000476837158,-35.263249489338094,2.976288669742644e-06
grid-r000-c003,0,3,2.0,0.5,1.2000000476837158,-34.104185064584,3.886704234901117e-06
grid-r000-c004,0,4,2.5,0.5,1.2000000476837158,-37.25666381793438,1.8807610331350588e-06
grid-r000-c005,0,5,3.0,0.5,1.2000000476837158,-35.142805524663956,3.0599860565416748e-06
grid-r000-c006,0,6,3.5,0.5,1.2000000476837158,-35.20795757981809,3.014423327840632e-06
grid-r000-c007,0,7,4.0,0.5,1.2000000476837158,-31.89320330624902,6.466654667747207e-06
grid-r000-c008,0,8,4.5,0.5,1.2000000476837158,-37.87882330741147,1.6297375395879499e-06
grid-r000-c009,0,9,5.0,0.5,1.2000000476837158,-33.03027388908205,4.977056960342452e-06
grid-r000-c010,0,10,5.5,0.5,1.2000000476837158,-36.00868338823111,2.5068691229535034e-06
grid-r000-c011,0,11,6.0,0.5,1.2000000476837158,-33.19499199843669,4.791823357663816e-06
grid-r000-c012,0,12,6.5,0.5,1.2000000476837158,-33.825311860972036,4.144468221056741e-06
grid-r000-c013,0,13,7.0,0.5,1.2000000476837158,-33.7336990160017,4.232822902849875e-06
grid-r000-c014,0,14,7.5,0.5,1.2000000476837158,-34.55573476311169,3.5028901947953273e-06
grid-r000-c015,0,15,8.0,0.5,1.2000000476837158,-32.950913408244574,5.068840891908621e-06
grid-r000-c016,0,16,8.5,0.5,1.2000000476837158,-34.20253168553825,3.7996783248672727e-06
grid-r000-c017,0,17,9.0,0.5,1.2000000476837158,-34.1698943133678,3.828340595646296e-06
grid-r000-c018,0,18,9.5,0.5,1.2000000476837158,-33.81083061069093,4.158310730417725e-06
grid-r000-c019,0,19,10.0,0.5,1.2000000476837158,-34.03314608885442,3.950803147745319e-06
grid-r000-c020,0,20,10.5,0.5,1.2000000476837158,-33.892646640611794,4.080706275999546e-06
grid-r000-c021,0,21,11.0,0.5,1.2000000476837158,-33.79763740118779,4.170962256466737e-06
grid-r000-c022,0,22,11.5,0.5,1.2000000476837158,-33.845842787124376,4.124921815673588e-06
grid-r000-c023,0,23,12.0,0.5,1.2000000476837158,-37.109685358132836,1.9455010260571726e-06
grid-r000-c024,0,24,12.5,0.5,1.2000000476837158,-34.528175988306025,3.5251889585197205e-06
grid-r000-c025,0,25,13.0,0.5,1.2000000476837158,-37.34140977332312,1.8444166016706731e-06
grid-r000-c026,0,26,13.5,0.5,1.2000000476837158,-34.922126361803045,3.2194921004702337e-06
grid-r000-c027,0,27,14.0,0.5,1.2000000476837158,-35.86802215314732,2.5893918973451946e-06
grid-r000-c028,0,28,14.5,0.5,1.2000000476837158,-37.61560311901895,1.7315685454377672e-06
grid-r000-c029,0,29,15.0,0.5,1.2000000476837158,-35.01309405045649,3.1527576993539697e-06
