point_id,x,y,z,sionna_rssi_dbm,point_role,marker_id,path_gain_linear,valid_path_count
cal-01,3.9732749424333735,2.9724979458444354,0.5960450007868423,-33.098042478313204,calibration,cal_rx_000,4.8999963008680786e-06,13
cal-02,7.45,9.55,1.4684397979548491,-42.7931523063007,calibration,cal_rx_001,5.256355977370244e-07,11
cal-03,11.350000000000001,2.95,0.6184397979548492,-32.89719722944366,calibration,cal_rx_002,5.1319247194627285e-06,13
test-00,1.2000000000000002,1.4000000000000001,1.0184397979548492,-34.466593614109,test,test_rx_000,3.5755317479234743e-06,22
test-01,5.0,1.4,1.0184397979548492,-33.370548869690005,test,test_rx_001,4.601984091489931e-06,20
test-02,7.5,1.4,1.0184397979548492,-32.247495935536634,test,test_rx_002,5.9600569072078445e-06,21
test-03,10.0,1.4,1.0184397979548492,-33.209348011773805,test,test_rx_003,4.776009685211031e-06,21
test-04,12.5,1.4,1.0184397979548492,-34.86542461302821,test,test_rx_004,3.2618015795233064e-06,21
test-05,1.2000000000000002,6.6,1.5184397979548492,-33.41576003783358,test,test_rx_005,4.554324761492942e-06,19
test-06,5.0,6.6,1.5184397979548492,-27.858102701617838,test,test_rx_006,1.637531752203497e-05,21
test-07,7.5,6.6,1.5184397979548492,-19.51861058806149,test,test_rx_007,0.0001117220616213173,21
test-08,10.0,6.6,1.5184397979548492,-26.804053254812402,test,test_rx_008,2.0873471079233e-05,21
test-09,12.5,6.6,1.5184397979548492,-31.37961163574016,test,test_rx_009,7.278448885558154e-06,20
test-10,1.2000000000000002,10.35,1.5184397979548492,-47.761417021388795,test,test_rx_010,1.674396462747309e-07,10
test-11,5.0,10.35,1.5184397979548492,-46.51400689922352,test,test_rx_011,2.2315124288773223e-07,11
test-12,7.5,10.35,1.5184397979548492,-44.5893526864248,test,test_rx_012,3.475879653805858e-07,11
test-13,10.0,10.35,1.5184397979548492,-45.49262172406026,test,test_rx_013,2.8231751821694997e-07,11
test-14,12.5,10.35,1.5184397979548492,-47.87428207686628,test,test_rx_014,1.6314425773017485e-07,11
