object_id,vertex_index,x,y,z,coordinate_space
Left_Desk01,0,-12.070354311,-8.734435756,0.372718937,metric
Left_Desk01,1,-10.338303503,-7.734435756,0.372718937,metric
Left_Desk01,2,-10.738303503,-7.041615432,0.372718937,metric
Left_Desk01,3,-12.470354311,-8.041615432,0.372718937,metric
Left_Desk01,4,-12.070354311,-8.734435756,0.722718937,metric
Left_Desk01,5,-10.338303503,-7.734435756,0.722718937,metric
Left_Desk01,6,-10.738303503,-7.041615432,0.722718937,metric
Left_Desk01,7,-12.470354311,-8.041615432,0.722718937,metric
Blackboard,0,-3.396234439,-11.293058000,1.008586286,metric
Blackboard,1,-3.396234439,-10.793058000,1.008586286,metric
Blackboard,2,-10.393835713,-10.793058000,1.191824924,metric
Blackboard,3,-10.393835713,-11.293058000,1.191824924,metric
Blackboard,4,-3.364822101,-11.293058000,2.208175076,metric
Blackboard,5,-3.364822101,-10.793058000,2.208175076,metric
Blackboard,6,-10.362423375,-10.793058000,2.391413714,metric
Blackboard,7,-10.362423375,-11.293058000,2.391413714,metric
Door,0,-15.254328907,-10.900622875,-0.676727033,metric
Door,1,-15.204328907,-10.900622875,-0.676727033,metric
Door,2,-15.204328907,-8.404049038,-0.807566924,metric
Door,3,-15.254328907,-8.404049038,-0.807566924,metric
Door,4,-15.254328907,-10.795950962,1.320532036,metric
Door,5,-15.204328907,-10.795950962,1.320532036,metric
Door,6,-15.204328907,-8.299377125,1.189692145,metric
Door,7,-15.254328907,-8.299377125,1.189692145,metric
Left_Desk02,0,-13.513551601,-8.107685032,0.492811080,metric
Left_Desk02,1,-10.743985437,-6.515371447,0.308309846,metric
Left_Desk02,2,-11.042739225,-5.995738637,0.308309846,metric
Left_Desk02,3,-13.812305390,-7.588052222,0.492811080,metric
Left_Desk02,4,-13.495099899,-8.097076549,0.861346514,metric
Left_Desk02,5,-10.725533734,-6.504762964,0.676845280,metric
Left_Desk02,6,-11.024287523,-5.985130154,0.676845280,metric
Left_Desk02,7,-13.793853687,-7.577443739,0.861346514,metric
Left_Desk03,0,-13.837154500,-6.784793958,0.355315440,metric
Left_Desk03,1,-11.067588335,-5.192480373,0.170814206,metric
Left_Desk03,2,-11.366342123,-4.672847563,0.170814206,metric
Left_Desk03,3,-14.135908288,-6.265161148,0.355315440,metric
Left_Desk03,4,-13.807163885,-6.767551379,0.954317324,metric
Left_Desk03,5,-11.037597720,-5.175237794,0.769816090,metric
Left_Desk03,6,-11.336351508,-4.655604984,0.769816090,metric
Left_Desk03,7,-14.105917673,-6.247918569,0.954317324,metric
Left_Desk05,0,-13.766350706,-4.080457209,0.474257988,metric
Left_Desk05,1,-11.743866071,-2.795760695,0.336016285,metric
Left_Desk05,2,-12.065499102,-2.289253170,0.337539613,metric
Left_Desk05,3,-14.087983737,-3.573949684,0.475781316,metric
Left_Desk05,4,-13.736360090,-4.063214630,1.073259871,metric
Left_Desk05,5,-11.713875455,-2.778518116,0.935018168,metric
Left_Desk05,6,-12.035508486,-2.272010591,0.936541496,metric
Left_Desk05,7,-14.057993121,-3.556707105,1.074783199,metric
Left_Desk04,0,-14.250345524,-5.696413038,0.444673335,metric
Left_Desk04,1,-11.480779359,-4.104099453,0.260172101,metric
Left_Desk04,2,-11.779533147,-3.584466643,0.260172101,metric
Left_Desk04,3,-14.549099312,-5.176780228,0.444673335,metric
Left_Desk04,4,-14.220354909,-5.679170459,1.043675219,metric
Left_Desk04,5,-11.450788744,-4.086856874,0.859173985,metric
Left_Desk04,6,-11.749542532,-3.567224064,0.859173985,metric
Left_Desk04,7,-14.519108697,-5.159537649,1.043675219,metric
Left_Desk06,0,-13.861860513,-2.719503520,0.439864182,metric
Left_Desk06,1,-12.260726843,-1.702452114,0.330422834,metric
Left_Desk06,2,-12.582359875,-1.195944589,0.331946162,metric
Left_Desk06,3,-14.183493544,-2.212995996,0.441387510,metric
Left_Desk06,4,-13.831869897,-2.702260941,1.038866066,metric
Left_Desk06,5,-12.230736228,-1.685209534,0.929424718,metric
Left_Desk06,6,-12.552369259,-1.178702010,0.930948046,metric
Left_Desk06,7,-14.153502929,-2.195753416,1.040389394,metric
Mid_Desk01,0,-9.629328907,-7.793058274,0.348797381,metric
Mid_Desk01,1,-5.829328907,-7.793058274,0.348797381,metric
Mid_Desk01,2,-5.829328907,-6.993058274,0.348797381,metric
Mid_Desk01,3,-9.629328907,-6.993058274,0.348797381,metric
Mid_Desk01,4,-9.629328907,-7.793058274,0.698797381,metric
Mid_Desk01,5,-5.829328907,-7.793058274,0.698797381,metric
Mid_Desk01,6,-5.829328907,-6.993058274,0.698797381,metric
Mid_Desk01,7,-9.629328907,-6.993058274,0.698797381,metric
