object_id,vertex_index,x,y,z,coordinate_space
Left_Desk01,0,4.103840649,1.197187402,-0.334097339,scene
Left_Desk01,1,2.859325974,1.048491555,-0.005789071,scene
Left_Desk01,2,2.723923677,1.079309421,-0.505099240,scene
Left_Desk01,3,3.968438352,1.228005268,-0.833407508,scene
Left_Desk01,4,4.125494476,0.972350386,-0.353846536,scene
Left_Desk01,5,2.880979801,0.823654540,-0.025538268,scene
Left_Desk01,6,2.745577504,0.854472406,-0.524848438,scene
Left_Desk01,7,3.990092180,1.003168253,-0.853156705,scene
Blackboard,0,1.373934822,0.072890877,4.743052911,scene
Blackboard,1,1.145081845,0.070984555,4.513831887,scene
Blackboard,2,4.335178398,0.538611466,1.324968445,scene
Blackboard,3,4.564031376,0.540517787,1.554189469,scene
Blackboard,4,1.433881573,-0.700342323,4.689633022,scene
Blackboard,5,1.205028596,-0.702248644,4.460411999,scene
Blackboard,6,4.395125149,-0.234621734,1.271548557,scene
Blackboard,7,4.623978126,-0.232715412,1.500769580,scene
Door,0,6.476755946,2.145935685,-0.728068144,scene
Door,1,6.454042735,2.141753267,-0.705356618,scene
Door,2,5.303251210,2.216285153,-1.842508230,scene
Door,3,5.325964421,2.220467571,-1.865219756,scene
Door,4,6.552413567,0.862514414,-0.888752045,scene
Door,5,6.529700356,0.858331996,-0.866040520,scene
Door,6,5.378908831,0.932863882,-2.003192131,scene
Door,7,5.401622043,0.937046300,-2.025903657,scene
Left_Desk02,0,4.479995882,1.238372739,-1.283746811,scene
Left_Desk02,1,2.481654904,1.119154177,-0.745298152,scene
Left_Desk02,2,2.379529031,1.142163266,-1.119222766,scene
Left_Desk02,3,4.377870009,1.261381828,-1.657671425,scene
Left_Desk02,4,4.489558947,1.000044818,-1.301023943,scene
Left_Desk02,5,2.491217968,0.880826256,-0.762575284,scene
Left_Desk02,6,2.389092095,0.903835345,-1.136499897,scene
Left_Desk02,7,4.387433073,1.023053907,-1.674948556,scene
Left_Desk03,0,4.012995389,1.348723905,-2.029447644,scene
Left_Desk03,1,2.014654411,1.229505343,-1.490998985,scene
Left_Desk03,2,1.912528538,1.252514432,-1.864923599,scene
Left_Desk03,3,3.910869516,1.371732994,-2.403372258,scene
Left_Desk03,4,4.028538789,0.961355798,-2.057529162,scene
Left_Desk03,5,2.030197811,0.842137236,-1.519080503,scene
Left_Desk03,6,1.928071938,0.865146325,-1.893005116,scene
Left_Desk03,7,3.926412916,0.984364887,-2.431453775,scene
Left_Desk05,0,2.750399471,1.256082937,-3.243779561,scene
Left_Desk05,1,1.235091059,1.170812622,-2.906263776,scene
Left_Desk05,2,1.149460175,1.194806992,-3.284649613,scene
Left_Desk05,3,2.664768586,1.280077306,-3.622165397,scene
Left_Desk05,4,2.765942871,0.868714829,-3.271861078,scene
Left_Desk05,5,1.250634459,0.783444515,-2.934345294,scene
Left_Desk05,6,1.165003575,0.807438884,-3.312731131,scene
Left_Desk05,7,2.680311986,0.892709199,-3.650246915,scene
Left_Desk04,0,3.708063263,1.321734298,-2.721133322,scene
Left_Desk04,1,1.709722285,1.202515736,-2.182684663,scene
Left_Desk04,2,1.607596412,1.225524825,-2.556609277,scene
Left_Desk04,3,3.605937390,1.344743388,-3.095057936,scene
Left_Desk04,4,3.723606663,0.934366191,-2.749214840,scene
Left_Desk04,5,1.725265685,0.815147629,-2.210766181,scene
Left_Desk04,6,1.623139812,0.838156718,-2.584690794,scene
Left_Desk04,7,3.621480790,0.957375280,-3.123139453,scene
Left_Desk06,0,2.168741673,1.280977632,-3.909140709,scene
Left_Desk06,1,0.969122514,1.213471967,-3.641940713,scene
Left_Desk06,2,0.883491630,1.237466336,-4.020326550,scene
Left_Desk06,3,2.083110789,1.304972002,-4.287526546,scene
Left_Desk06,4,2.184285073,0.893609525,-3.937222227,scene
Left_Desk06,5,0.984665914,0.826103859,-3.670022231,scene
Left_Desk06,6,0.899035030,0.850098229,-4.048408067,scene
Left_Desk06,7,2.098654189,0.917603894,-4.315608063,scene
Mid_Desk01,0,2.562616072,1.004777506,0.344473650,scene
Mid_Desk01,1,0.836412011,0.686913749,2.070549573,scene
Mid_Desk01,2,0.470247247,0.683863635,1.703795935,scene
Mid_Desk01,3,2.196451308,1.001727391,-0.022279987,scene
Mid_Desk01,4,2.584269899,0.779940490,0.324724453,scene
Mid_Desk01,5,0.858065838,0.462076734,2.050800376,scene
Mid_Desk01,6,0.491901074,0.459026620,1.684046738,scene
Mid_Desk01,7,2.218105135,0.776890376,-0.042029184,scene
