x_m,y_m,z_m,value_path_gain_linear,is_inside,is_valid
-14.314044952392578,-9.918306350708008,1.5,1.0606868272589054e-06,True,True
-13.314044952392578,-9.918306350708008,1.5,1.0665477248039679e-06,True,True
-12.314044952392578,-9.918306350708008,1.5,1.017824502014264e-06,True,True
-11.314044952392578,-9.918306350708008,1.5,9.250006769434549e-07,True,True
-10.314044952392578,-9.918306350708008,1.5,1.0646665487001883e-06,True,True
-9.314044952392578,-9.918306350708008,1.5,9.440144026484631e-07,True,True
-8.314044952392578,-9.918306350708008,1.5,9.224261248164112e-07,True,True
-7.314044952392578,-9.918306350708008,1.5,1.0597564141789917e-06,True,True
-6.314044952392578,-9.918306350708008,1.5,7.925572731437569e-07,True,True
-5.314044952392578,-9.918306350708008,1.5,8.066839995990449e-07,True,True
-4.314044952392578,-9.918306350708008,1.5,9.949948207577108e-07,True,True
-3.314044952392578,-9.918306350708008,1.5,9.227733812622319e-07,True,True
-2.314044952392578,-9.918306350708008,1.5,9.859197689365828e-07,True,True
-1.3140449523925781,-9.918306350708008,1.5,1.172814677374845e-06,True,True
-0.3140449523925781,-9.918306350708008,1.5,1.0520810747038922e-06,True,True
-14.314044952392578,-8.918306350708008,1.5,9.831182978814468e-07,True,True
-13.314044952392578,-8.918306350708008,1.5,1.0350731827202253e-06,True,True
-12.314044952392578,-8.918306350708008,1.5,9.064030450645078e-07,True,True
-11.314044952392578,-8.918306350708008,1.5,7.863494602133869e-07,True,True
-10.314044952392578,-8.918306350708008,1.5,8.860181424097391e-07,True,True
-9.314044952392578,-8.918306350708008,1.5,8.349878726221505e-07,True,True
-8.314044952392578,-8.918306350708008,1.5,9.083585155167384e-07,True,True
-7.314044952392578,-8.918306350708008,1.5,1.062777528204606e-06,True,True
-6.314044952392578,-8.918306350708008,1.5,1.0111210713148466e-06,True,True
-5.314044952392578,-8.918306350708008,1.5,8.809049063529528e-07,True,True
-4.314044952392578,-8.918306350708008,1.5,8.206940833588305e-07,True,True
-3.314044952392578,-8.918306350708008,1.5,8.272739933090634e-07,True,True
-2.314044952392578,-8.918306350708008,1.5,9.87330622592708e-07,True,True
-1.3140449523925781,-8.918306350708008,1.5,8.552867143407639e-07,True,True
-0.3140449523925781,-8.918306350708008,1.5,1.1677716429403517e-06,True,True
-14.314044952392578,-7.918306350708008,1.5,1.0856805374714895e-06,True,True
-13.314044952392578,-7.918306350708008,1.5,1.0454135690451949e-06,True,True
-12.314044952392578,-7.918306350708008,1.5,8.917831451071834e-07,True,True
-11.314044952392578,-7.918306350708008,1.5,8.138108569255564e-07,True,True
-10.314044952392578,-7.918306350708008,1.5,9.560679927744786e-07,True,True
-9.314044952392578,-7.918306350708008,1.5,9.341678719465563e-07,True,True
-8.314044952392578,-7.918306350708008,1.5,1.1396579111533356e-06,True,True
-7.314044952392578,-7.918306350708008,1.5,1.4885283690091455e-06,True,True
-6.314044952392578,-7.918306350708008,1.5,1.417355065314041e-06,True,True
-5.314044952392578,-7.918306350708008,1.5,1.3164666370357736e-06,True,True
-4.314044952392578,-7.918306350708008,1.5,9.7870315585169e-07,True,True
-3.314044952392578,-7.918306350708008,1.5,8.028163165363367e-07,True,True
-2.314044952392578,-7.918306350708008,1.5,8.373209539058735e-07,True,True
-1.3140449523925781,-7.918306350708008,1.5,1.0365865819039755e-06,True,True
-0.3140449523925781,-7.918306350708008,1.5,9.364686661683663e-07,True,True
-14.314044952392578,-6.918306350708008,1.5,1.069473682946409e-06,True,True
-13.314044952392578,-6.918306350708008,1.5,8.165989129338413e-07,True,True
-12.314044952392578,-6.918306350708008,1.5,7.827947570149263e-07,True,True
-11.314044952392578,-6.918306350708008,1.5,9.462314096708724e-07,True,True
-10.314044952392578,-6.918306350708008,1.5,1.0671850532162352e-06,True,True
-9.314044952392578,-6.918306350708008,1.5,1.3147948720870772e-06,True,True
-8.314044952392578,-6.918306350708008,1.5,1.919899432323291e-06,True,True
-7.314044952392578,-6.918306350708008,1.5,2.6278476070729084e-06,True,True
-6.314044952392578,-6.918306350708008,1.5,2.6215916477667633e-06,True,True
-5.314044952392578,-6.918306350708008,1.5,1.9828619315376272e-06,True,True
-4.314044952392578,-6.918306350708008,1.5,1.354179289592139e-06,True,True
-3.314044952392578,-6.918306350708008,1.5,1.0451070693306974e-06,True,True
-2.314044952392578,-6.918306350708008,1.5,7.94219772615179e-07,True,True
-1.3140449523925781,-6.918306350708008,1.5,8.767325425651507e-07,True,True
-0.3140449523925781,-6.918306350708008,1.5,9.265614266951161e-07,True,True
-14.314044952392578,-5.918306350708008,1.5,9.042943247550284e-07,True,True
-13.314044952392578,-5.918306350708008,1.5,8.965126880866592e-07,True,True
-12.314044952392578,-5.918306350708008,1.5,8.140843874571146e-07,True,True
-11.314044952392578,-5.918306350708008,1.5,7.913590138741711e-07,True,True
-10.314044952392578,-5.918306350708008,1.5,1.1962506505369674e-06,True,True
-9.314044952392578,-5.918306350708008,1.5,1.8851010281650815e-06,True,True
-8.314044952392578,-5.918306350708008,1.5,3.3786327549023554e-06,True,True
-7.314044952392578,-5.918306350708008,1.5,4.666616860049544e-06,True,True
-6.314044952392578,-5.918306350708008,1.5,4.783107669936726e-06,True,True
-5.314044952392578,-5.918306350708008,1.5,3.338358737892122e-06,True,True
-4.314044952392578,-5.918306350708008,1.5,1.8152702523366315e-06,True,True
-3.314044952392578,-5.918306350708008,1.5,1.1289964731986402e-06,True,True
-2.314044952392578,-5.918306350708008,1.5,9.438073220735532e-07,True,True
-1.3140449523925781,-5.918306350708008,1.5,8.329707270604558e-07,True,True
-0.3140449523925781,-5.918306350708008,1.5,9.187958198708657e-07,True,True
-14.314044952392578,-4.918306350708008,1.5,1.1017006045221933e-06,True,True
-13.314044952392578,-4.918306350708008,1.5,8.424865995948494e-07,True,True
-12.314044952392578,-4.918306350708008,1.5,9.152152529168234e-07,True,True
-11.314044952392578,-4.918306350708008,1.5,8.615130013822636e-07,True,True
-10.314044952392578,-4.918306350708008,1.5,1.2864408063251176e-06,True,True
-9.314044952392578,-4.918306350708008,1.5,2.265256171085639e-06,True,True
-8.314044952392578,-4.918306350708008,1.5,4.349481059762184e-06,True,True
-7.314044952392578,-4.918306350708008,1.5,6.9075863393663894e-06,True,True
-6.314044952392578,-4.918306350708008,1.5,0.008371124044060707,True,True
-5.314044952392578,-4.918306350708008,1.5,4.686115971708205e-06,True,True
-4.314044952392578,-4.918306350708008,1.5,2.3354498353000963e-06,True,True
-3.314044952392578,-4.918306350708008,1.5,1.2103860171919223e-06,True,True
-2.314044952392578,-4.918306350708008,1.5,9.7761937922769e-07,True,True
-1.3140449523925781,-4.918306350708008,1.5,9.089916375160101e-07,True,True
-0.3140449523925781,-4.918306350708008,1.5,9.358551551486016e-07,True,True
-14.314044952392578,-3.918306350708008,1.5,1.112404447667359e-06,True,True
-13.314044952392578,-3.918306350708008,1.5,8.257417221102514e-07,True,True
-12.314044952392578,-3.918306350708008,1.5,1.0080303809445468e-06,True,True
-11.314044952392578,-3.918306350708008,1.5,8.507565212312329e-07,True,True
-10.314044952392578,-3.918306350708008,1.5,1.1770326864279923e-06,True,True
-9.314044952392578,-3.918306350708008,1.5,2.1037083115515998e-06,True,True
-8.314044952392578,-3.918306350708008,1.5,4.193446784483967e-06,True,True
-7.314044952392578,-3.918306350708008,1.5,6.698212928313296e-06,True,True
-6.314044952392578,-3.918306350708008,1.5,6.729078904754715e-06,True,True
-5.314044952392578,-3.918306350708008,1.5,4.5170959310780745e-06,True,True
-4.314044952392578,-3.918306350708008,1.5,2.2911669930181233e-06,True,True
-3.314044952392578,-3.918306350708008,1.5,1.2780833458236884e-06,True,True
-2.314044952392578,-3.918306350708008,1.5,9.040460327014443e-07,True,True
-1.3140449523925781,-3.918306350708008,1.5,9.05566992059903e-07,True,True
-0.3140449523925781,-3.918306350708008,1.5,1.1151172429890721e-06,True,True
-14.314044952392578,-2.918306350708008,1.5,1.11219083009928e-06,True,True
-13.314044952392578,-2.918306350708008,1.5,1.008216145237384e-06,True,True
-12.314044952392578,-2.918306350708008,1.5,8.916271099224105e-07,True,True
