path_index,transmitter,receiver,path_type,interaction_count,distance_m,delay_s,amplitude_magnitude,interaction_types,interaction_object_ids,interaction_object_names,interaction_points_m
0,tx_test,rx_los,specular_reflection,2,20.534884549732396,6.849700184829999e-08,0.00010308388970891365,"[1, 1]","[4, 1]","[""wall_001"", ""floor_000""]","[[-15.189223289489746, -4.851375579833984, 0.8375137448310852], [-11.784037590026855, -4.915130138397217, 0.28775709867477417]]"
1,tx_test,rx_los,specular_reflection,2,34.536006682834156,1.1519971820916908e-07,5.5067031684547306e-05,"[1, 1]","[6, 4]","[""wall_003"", ""wall_001""]","[[0.0824984610080719, -4.864736557006836, 0.8122948408126831], [-15.15079116821289, -4.690845012664795, 1.7314636707305908]]"
2,tx_test,rx_los,specular_reflection,2,12.68524535013377,4.231342387583936e-08,0.00010740395553100578,"[1, 1]","[1, 5]","[""floor_000"", ""wall_002""]","[[-5.262565612792969, -10.150768280029297, 0.36793193221092224], [-4.998997211456299, -10.907578468322754, 0.5764322280883789]]"
3,tx_test,rx_los,specular_reflection,2,10.466716007694473,3.491320654802621e-08,0.00013991971492462464,"[1, 1]","[1, 6]","[""floor_000"", ""wall_003""]","[[-1.023390531539917, -5.017658710479736, 0.16314823925495148], [0.04872072860598564, -5.0072197914123535, 0.3761407434940338]]"
4,tx_test,rx_los,specular_reflection,2,20.560646626556576,6.858293488676281e-08,9.679024155281856e-05,"[1, 1]","[1, 4]","[""floor_000"", ""wall_001""]","[[-14.876286506652832, -4.873232841491699, 0.3231913149356842], [-15.207610130310059, -4.864665508270264, 0.380328893661499]]"
5,tx_test,rx_los,specular_reflection,2,6.015422039295391,2.0065288097725897e-08,0.00018990702352590205,"[1, 1]","[1, 2]","[""floor_000"", ""ceiling_000""]","[[-5.887566566467285, -5.019499778747559, 0.22092582285404205], [-3.8393261432647705, -4.917939186096191, 2.4640657901763916]]"
6,tx_test,rx_los,los,0,3.99999990723561,1.3342563498497384e-08,0.0024850754998624325,[],[],[],[]
7,tx_test,rx_los,specular_reflection,1,4.455674629139029,1.4862530761661219e-08,0.00013134470113239057,[1],[2],"[""ceiling_000""]","[[-4.936959266662598, -4.935982704162598, 2.478973865509033]]"
8,tx_test,rx_los,specular_reflection,2,6.088704646203265,2.0309732562395766e-08,0.00019238812295908615,"[1, 1]","[2, 1]","[""ceiling_000"", ""floor_000""]","[[-6.109610557556152, -4.914783954620361, 2.4922537803649902], [-4.159189224243164, -5.018826484680176, 0.20039525628089905]]"
9,tx_test,rx_los,specular_reflection,2,12.527307246607066,4.1786599069837393e-08,0.00016353751560850915,"[1, 1]","[2, 5]","[""ceiling_000"", ""wall_002""]","[[-5.030667304992676, -10.629314422607422, 2.8524489402770996], [-4.980162620544434, -10.779025077819824, 2.8353989124298096]]"
10,tx_test,rx_los,specular_reflection,2,10.512518568954064,3.5065987447069347e-08,0.00012422939901824545,"[1, 1]","[2, 6]","[""ceiling_000"", ""wall_003""]","[[-2.644670009613037, -4.914243221282959, 2.448882818222046], [0.15760184824466705, -4.943761825561523, 1.7628566026687622]]"
11,tx_test,rx_los,specular_reflection,2,10.667651260278234,3.5583454405241355e-08,0.0001562440638557624,"[1, 1]","[2, 3]","[""ceiling_000"", ""wall_000""]","[[-5.367026329040527, -0.33394545316696167, 2.1834123134613037], [-5.28827428817749, -0.1117948666214943, 2.1184821128845215]]"
12,tx_test,rx_los,specular_reflection,1,12.356484909437974,4.1216797086462975e-08,0.0003765794900061859,[1],[5],"[""wall_002""]","[[-4.995616436004639, -10.836127281188965, 1.8320869207382202]]"
13,tx_test,rx_los,specular_reflection,1,10.24734214613187,3.418145411160367e-08,0.0004242193621200147,[1],[6],"[""wall_003""]","[[0.11024555563926697, -4.983458042144775, 1.15913724899292]]"
14,tx_test,rx_los,specular_reflection,1,10.449260464570962,3.485498112354435e-08,0.00045632350985024445,[1],[3],"[""wall_000""]","[[-5.308085918426514, -0.19860658049583435, 1.0970345735549927]]"
15,tx_test,rx_los,specular_reflection,1,20.312671193510738,6.775577787720977e-08,0.00021404321383559354,[1],[4],"[""wall_001""]","[[-15.147004127502441, -4.8202033042907715, 1.8870240449905396]]"
16,tx_test,rx_los,specular_reflection,1,4.759116064945442,1.587470244146516e-08,0.0003576621835742159,[1],[1],"[""floor_000""]","[[-5.052117347717285, -5.038774490356445, 0.21159178018569946]]"
