x_m,y_m,z_m,baseline_db,variant_db,delta_db,is_inside,is_valid_baseline,is_valid_variant,is_common_valid
-14.314044952392578,-9.918306350708008,1.5,-59.74412824647235,-59.96391214111013,-0.2197838946377786,True,True,True,True
-13.314044952392578,-9.918306350708008,1.5,-59.720197064074455,-59.97643976914969,-0.2562427050752376,True,True,True,True
-12.314044952392578,-9.918306350708008,1.5,-59.923270985978114,-60.57574976938298,-0.6524787834048666,True,True,True,True
-11.314044952392578,-9.918306350708008,1.5,-60.338579494310224,-60.79216619807578,-0.4535867037655592,True,True,True,True
-10.314044952392578,-9.918306350708008,1.5,-59.72786391037605,-60.6367701459087,-0.9089062355326476,True,True,True,True
-9.314044952392578,-9.918306350708008,1.5,-60.25021379702952,-61.17485393554127,-0.9246401385117551,True,True,True,True
-8.314044952392578,-9.918306350708008,1.5,-60.35068405515028,-61.21349814639761,-0.8628140912473299,True,True,True,True
-7.314044952392578,-9.918306350708008,1.5,-59.747939461830846,-60.18555083803389,-0.43761137620304424,True,True,True,True
-6.314044952392578,-9.918306350708008,1.5,-61.00969344237592,-61.46253276070012,-0.45283931832420166,True,True,True,True
-5.314044952392578,-9.918306350708008,1.5,-60.93296557107807,-61.764096141286146,-0.8311305702080745,True,True,True,True
-4.314044952392578,-9.918306350708008,1.5,-60.021791798796016,-61.33595112071407,-1.314159321918055,True,True,True,True
-3.314044952392578,-9.918306350708008,1.5,-60.34904941825049,-62.3886382217626,-2.0395888035121104,True,True,True,True
-2.314044952392578,-9.918306350708008,1.5,-60.06158425145833,-61.31677961913119,-1.2551953676728616,True,True,True,True
-1.3140449523925781,-9.918306350708008,1.5,-59.3077060762193,-60.507928410632616,-1.2002223344133185,True,True,True,True
-0.3140449523925781,-9.918306350708008,1.5,-59.77950791608314,-60.83897029427482,-1.0594623781916823,True,True,True,True
-14.314044952392578,-8.918306350708008,1.5,-60.07394220696873,-60.35465855571613,-0.28071634874739715,True,True,True,True
-13.314044952392578,-8.918306350708008,1.5,-59.8502894322352,-60.21749943242722,-0.3672100001920171,True,True,True,True
-12.314044952392578,-8.918306350708008,1.5,-60.4267864412823,-60.88957256821635,-0.4627861269340485,True,True,True,True
-11.314044952392578,-8.918306350708008,1.5,-61.04384406996596,-61.39428872560646,-0.3504446556405014,True,True,True,True
-10.314044952392578,-8.918306350708008,1.5,-60.525573852599365,-61.2169471353033,-0.6913732827039354,True,True,True,True
-9.314044952392578,-8.918306350708008,1.5,-60.78319832170922,-61.336626434242575,-0.5534281125333536,True,True,True,True
-8.314044952392578,-8.918306350708008,1.5,-60.417427081088,-61.132451506085175,-0.7150244249971749,True,True,True,True
-7.314044952392578,-8.918306350708008,1.5,-59.73557637061831,-60.62897766418348,-0.8934012935651694,True,True,True,True
-6.314044952392578,-8.918306350708008,1.5,-59.95196839012523,-60.78919241427553,-0.8372240241503022,True,True,True,True
-5.314044952392578,-8.918306350708008,1.5,-60.550709711284625,-61.08238166972558,-0.5316719584409526,True,True,True,True
-4.314044952392578,-8.918306350708008,1.5,-60.85818697530663,-62.037850145704276,-1.179663170397646,True,True,True,True
-3.314044952392578,-8.918306350708008,1.5,-60.82350628204833,-62.56589709828389,-1.742390816235563,True,True,True,True
-2.314044952392578,-8.918306350708008,1.5,-60.05537392899069,-61.22176972890253,-1.1663957999118395,True,True,True,True
-1.3140449523925781,-8.918306350708008,1.5,-60.678882740638365,-62.25715513063291,-1.5782723899945452,True,True,True,True
-0.3140449523925781,-8.918306350708008,1.5,-59.32642074952221,-60.879423818709924,-1.5530030691877172,True,True,True,True
-14.314044952392578,-7.918306350708008,1.5,-59.642979475129295,-60.21329059719563,-0.5703111220663359,True,True,True,True
-13.314044952392578,-7.918306350708008,1.5,-59.80711867235008,-60.55489520175384,-0.7477765294037582,True,True,True,True
-12.314044952392578,-7.918306350708008,1.5,-60.4974074016775,-61.35117197464201,-0.8537645729645078,True,True,True,True
-11.314044952392578,-7.918306350708008,1.5,-60.894765205881555,-61.37686032503819,-0.4820951191566323,True,True,True,True
